"Address","Name","Fields","Bitmask"
0x88,T1,
,,value,0
0x8a,T2,
,,value,0
0x8c,T3,
,,value,0
0x8e,P1,
,,value,0
0x90,P2,
,,value,0
0x92,P3,
,,value,0
0x94,P4,
,,value,0
0x96,P5,
,,value,0
0x98,P6,
,,value,0
0x9a,P7,
,,value,0
0x9c,P8,
,,value,0
0x9e,P9,
,,value,0
0xa1,H1,
,,value,0
0xd0,Id,
,,value,0
0xe0,Reset,
,,value,0
0xe1,H2,
,,value,0
0xe3,H3,
,,value,0
0xe4,H4,
,,value,0
0xe5,H4h5,
,,h4Low,0
,,h5Low,4
0xe6,H5,
,,value,0
0xe7,H6,
,,value,0
0xf2,CtrlHumidity,
,,oversampling,0
0xf3,Status,
,,imUpdate,0
,,measuring,3
0xf4,CtrlMeasure,
,,mode,0
,,oversamplingPressure,2
,,oversamplingTemperature,5
0xf5,Config,
,,enable3Wire,0
,,filter,1
,,tStandby,4
0xf7,Pressure,
,,value,4
0xfa,Temperature,
,,value,4
0xfd,Humidity,
,,value,0
