"Address","Name","Fields","Bitmask"
0x80,Control,
,,power,0
0x81,Timing,
,,integrationTiming,0
,,manual,3
,,gain,4
0x82,InterruptThresholdLow,
,,value,0
0x84,InterruptThresholdHigh,
,,value,0
0x86,InterruptControl,
,,persist,0
,,intrControlSelect,4
0x8A,Id,
,,revNumber,0
,,partNumber,4
0x8C,Data0,
,,value,0
0x8E,Data1,
,,value,0
