"Address","Name","Fields","Bitmask"
0x00,WhoAmI,
,,value,0
0x15,SmplrtDiv,
,,value,0
0x16,DlpfFs,
,,dlpfCfg,0
,,fsSel,3
0x17,IntCfg,
,,rawRdyEn,0
,,itgRdyEn,2
,,intAnyrd2Clear,4
,,latchIntEn,5
,,open,6
,,actl,7
0x1a,IntStatus,
,,rawDataReady,0
,,itgReady,2
0x1b,Temp,
,,value,0
0x1d,GyroX,
,,value,0
0x1f,GyroY,
,,value,0
0x21,GyroZ,
,,value,0
0x3e,PwrMgm,
,,clkSel,0
,,stbyZg,3
,,stbyYg,4
,,stbyXg,5
,,sleep,6
,,hReset,7
