"Address","Name","Fields","Bitmask"
0x00,Wia,
,,value,0
0x01,Info,
,,value,0
0x02,Status1,
,,drdy,0
0x03,Hx,
,,value,0
0x05,Hy,
,,value,0
0x07,Hz,
,,value,0
0x09,Status2,
,,derr,2
,,hofl,3
0x0a,Control,
,,mode,0
0x10,SensitivityX,
,,value,0
0x11,SensitivityY,
,,value,0
0x12,SensitivityZ,
,,value,0
